name,dept,area,count,adjustedcount,year
Joan Feigenbaum,Yale University,eurocrypt,1.0,0.33333,1998
Joan Feigenbaum,Yale University,focs,1.0,0.25,1991
Joan Feigenbaum,Yale University,focs,1.0,0.25,1999
Joan Feigenbaum,Yale University,ndss,1.0,0.2,2017
Joan Feigenbaum,Yale University,oakland,1.0,0.33333,1996
Joan Feigenbaum,Yale University,oakland,1.0,0.33333,2000
Joan Feigenbaum,Yale University,pets,1.0,0.33333,2010
Joan Feigenbaum,Yale University,pets,1.0,0.2,2015
Joan Feigenbaum,Yale University,pets,1.0,0.125,2020
Joan Feigenbaum,Yale University,soda,1.0,0.25,2000
Joan Feigenbaum,Yale University,soda,1.0,0.2,2005
Joan Feigenbaum,Yale University,stoc,1.0,0.33333,1987
Joan Feigenbaum,Yale University,stoc,1.0,0.25,1993
Joan Feigenbaum,Yale University,stoc,1.0,0.33333,2000
Joan Feigenbaum,Yale University,wine,1.0,0.25,2005
Joan Feigenbaum,Yale University,wine,1.0,0.33333,2012
John D. Lafferty,Yale University,aaai,1.0,0.5,2019
John D. Lafferty,Yale University,acl,1.0,0.33333,1992
John D. Lafferty,Yale University,acl,1.0,0.16667,1993
John D. Lafferty,Yale University,acl,1.0,0.33333,1997
John D. Lafferty,Yale University,acl,1.0,0.33333,2007
John D. Lafferty,Yale University,asplos,1.0,0.25,2015
John D. Lafferty,Yale University,asplos,1.0,0.25,2018
John D. Lafferty,Yale University,cvpr,1.0,0.33333,2011
John D. Lafferty,Yale University,eccv,1.0,0.33333,2002
John D. Lafferty,Yale University,emnlp,1.0,0.33333,1997
John D. Lafferty,Yale University,iclr,1.0,0.25,2024
John D. Lafferty,Yale University,icml,1.0,0.33333,2001
John D. Lafferty,Yale University,icml,2.0,1.0,2002
John D. Lafferty,Yale University,icml,1.0,0.33333,2003
John D. Lafferty,Yale University,icml,3.0,1.0833,2004
John D. Lafferty,Yale University,icml,1.0,0.5,2005
John D. Lafferty,Yale University,icml,2.0,1.0,2006
John D. Lafferty,Yale University,icml,1.0,0.25,2009
John D. Lafferty,Yale University,icml,4.0,1.5333,2012
John D. Lafferty,Yale University,icml,2.0,0.75,2013
